GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC02_MOE_VC34,Owner-occupied housing units; Margin of Error; COMPLETE FACILITIES - With complete kitchen facilities
HC03_EST_VC34,Renter-occupied housing units; Estimate; COMPLETE FACILITIES - With complete kitchen facilities
HC03_MOE_VC34,Renter-occupied housing units; Margin of Error; COMPLETE FACILITIES - With complete kitchen facilities
HC01_EST_VC37,Occupied housing units; Estimate; VEHICLES AVAILABLE - No vehicle available
HC01_MOE_VC37,Occupied housing units; Margin of Error; VEHICLES AVAILABLE - No vehicle available
HC02_EST_VC37,Owner-occupied housing units; Estimate; VEHICLES AVAILABLE - No vehicle available
HC02_MOE_VC37,Owner-occupied housing units; Margin of Error; VEHICLES AVAILABLE - No vehicle available
HC03_EST_VC37,Renter-occupied housing units; Estimate; VEHICLES AVAILABLE - No vehicle available
HC03_MOE_VC37,Renter-occupied housing units; Margin of Error; VEHICLES AVAILABLE - No vehicle available
HC01_EST_VC38,Occupied housing units; Estimate; VEHICLES AVAILABLE - 1 vehicle available
HC01_MOE_VC38,Occupied housing units; Margin of Error; VEHICLES AVAILABLE - 1 vehicle available
HC02_EST_VC38,Owner-occupied housing units; Estimate; VEHICLES AVAILABLE - 1 vehicle available
HC02_MOE_VC38,Owner-occupied housing units; Margin of Error; VEHICLES AVAILABLE - 1 vehicle available
HC03_EST_VC38,Renter-occupied housing units; Estimate; VEHICLES AVAILABLE - 1 vehicle available
HC03_MOE_VC38,Renter-occupied housing units; Margin of Error; VEHICLES AVAILABLE - 1 vehicle available
HC01_EST_VC39,Occupied housing units; Estimate; VEHICLES AVAILABLE - 2 vehicles available
HC01_MOE_VC39,Occupied housing units; Margin of Error; VEHICLES AVAILABLE - 2 vehicles available
HC02_EST_VC39,Owner-occupied housing units; Estimate; VEHICLES AVAILABLE - 2 vehicles available
HC02_MOE_VC39,Owner-occupied housing units; Margin of Error; VEHICLES AVAILABLE - 2 vehicles available
HC03_EST_VC39,Renter-occupied housing units; Estimate; VEHICLES AVAILABLE - 2 vehicles available
HC03_MOE_VC39,Renter-occupied housing units; Margin of Error; VEHICLES AVAILABLE - 2 vehicles available
HC01_EST_VC40,Occupied housing units; Estimate; VEHICLES AVAILABLE - 3 or more vehicles available
HC01_MOE_VC40,Occupied housing units; Margin of Error; VEHICLES AVAILABLE - 3 or more vehicles available
HC02_EST_VC40,Owner-occupied housing units; Estimate; VEHICLES AVAILABLE - 3 or more vehicles available
HC02_MOE_VC40,Owner-occupied housing units; Margin of Error; VEHICLES AVAILABLE - 3 or more vehicles available
HC03_EST_VC40,Renter-occupied housing units; Estimate; VEHICLES AVAILABLE - 3 or more vehicles available
HC03_MOE_VC40,Renter-occupied housing units; Margin of Error; VEHICLES AVAILABLE - 3 or more vehicles available
HC01_EST_VC43,Occupied housing units; Estimate; TELEPHONE SERVICE AVAILABLE - With telephone service
HC01_MOE_VC43,Occupied housing units; Margin of Error; TELEPHONE SERVICE AVAILABLE - With telephone service
HC02_EST_VC43,Owner-occupied housing units; Estimate; TELEPHONE SERVICE AVAILABLE - With telephone service
HC02_MOE_VC43,Owner-occupied housing units; Margin of Error; TELEPHONE SERVICE AVAILABLE - With telephone service
HC03_EST_VC43,Renter-occupied housing units; Estimate; TELEPHONE SERVICE AVAILABLE - With telephone service
HC03_MOE_VC43,Renter-occupied housing units; Margin of Error; TELEPHONE SERVICE AVAILABLE - With telephone service
HC01_EST_VC46,Occupied housing units; Estimate; HOUSE HEATING FUEL - Utility gas
HC01_MOE_VC46,Occupied housing units; Margin of Error; HOUSE HEATING FUEL - Utility gas
HC02_EST_VC46,Owner-occupied housing units; Estimate; HOUSE HEATING FUEL - Utility gas
HC02_MOE_VC46,Owner-occupied housing units; Margin of Error; HOUSE HEATING FUEL - Utility gas
HC03_EST_VC46,Renter-occupied housing units; Estimate; HOUSE HEATING FUEL - Utility gas
HC03_MOE_VC46,Renter-occupied housing units; Margin of Error; HOUSE HEATING FUEL - Utility gas
HC01_EST_VC47,"Occupied housing units; Estimate; HOUSE HEATING FUEL - Bottled, tank, or LP gas"
HC01_MOE_VC47,"Occupied housing units; Margin of Error; HOUSE HEATING FUEL - Bottled, tank, or LP gas"
HC02_EST_VC47,"Owner-occupied housing units; Estimate; HOUSE HEATING FUEL - Bottled, tank, or LP gas"
HC02_MOE_VC47,"Owner-occupied housing units; Margin of Error; HOUSE HEATING FUEL - Bottled, tank, or LP gas"
HC03_EST_VC47,"Renter-occupied housing units; Estimate; HOUSE HEATING FUEL - Bottled, tank, or LP gas"
HC03_MOE_VC47,"Renter-occupied housing units; Margin of Error; HOUSE HEATING FUEL - Bottled, tank, or LP gas"
HC01_EST_VC48,Occupied housing units; Estimate; HOUSE HEATING FUEL - Electricity
HC01_MOE_VC48,Occupied housing units; Margin of Error; HOUSE HEATING FUEL - Electricity
HC02_EST_VC48,Owner-occupied housing units; Estimate; HOUSE HEATING FUEL - Electricity
HC02_MOE_VC48,Owner-occupied housing units; Margin of Error; HOUSE HEATING FUEL - Electricity
HC03_EST_VC48,Renter-occupied housing units; Estimate; HOUSE HEATING FUEL - Electricity
HC03_MOE_VC48,Renter-occupied housing units; Margin of Error; HOUSE HEATING FUEL - Electricity
HC01_EST_VC49,"Occupied housing units; Estimate; HOUSE HEATING FUEL - Fuel oil, kerosene, etc."
HC01_MOE_VC49,"Occupied housing units; Margin of Error; HOUSE HEATING FUEL - Fuel oil, kerosene, etc."
HC02_EST_VC49,"Owner-occupied housing units; Estimate; HOUSE HEATING FUEL - Fuel oil, kerosene, etc."
HC02_MOE_VC49,"Owner-occupied housing units; Margin of Error; HOUSE HEATING FUEL - Fuel oil, kerosene, etc."
HC03_EST_VC49,"Renter-occupied housing units; Estimate; HOUSE HEATING FUEL - Fuel oil, kerosene, etc."
HC03_MOE_VC49,"Renter-occupied housing units; Margin of Error; HOUSE HEATING FUEL - Fuel oil, kerosene, etc."
HC01_EST_VC50,Occupied housing units; Estimate; HOUSE HEATING FUEL - Coal or coke
HC01_MOE_VC50,Occupied housing units; Margin of Error; HOUSE HEATING FUEL - Coal or coke
HC02_EST_VC50,Owner-occupied housing units; Estimate; HOUSE HEATING FUEL - Coal or coke
HC02_MOE_VC50,Owner-occupied housing units; Margin of Error; HOUSE HEATING FUEL - Coal or coke
HC03_EST_VC50,Renter-occupied housing units; Estimate; HOUSE HEATING FUEL - Coal or coke
HC03_MOE_VC50,Renter-occupied housing units; Margin of Error; HOUSE HEATING FUEL - Coal or coke
HC01_EST_VC51,Occupied housing units; Estimate; HOUSE HEATING FUEL - All other fuels
